Number of randomly selected points = 150000
Model = linreg, resampling = CV, k-fold=5
Degrees, Mean(MSE-Train), Mean(MSE-test)
4, 3407.2475107062514, 3408.167733790195
5, 3129.981776617876, 3131.1247737252806
6, 3125.0295839741243, 3126.6762584890603
7, 3124.614179038991, 3126.5265516459817
8, 3123.830346118927, 3126.34904596389
9, 3123.4513290470995, 3126.6583435569396
10, 3123.07680798147, 3126.8568788875514
11, 3122.8352369358636, 3127.4558258039815
12, 3122.623476908858, 3126.962236293294
13, 3122.186713754016, 3127.47506280737
14, 3121.681769313759, 3128.121323616091
15, 3121.3833738630738, 3128.843209184785
16, 3121.0515154673403, 3128.3294907055015
17, 3120.6273840679705, 3129.5088760971416
18, 3120.1012352966177, 3130.2461417883205
19, 3119.800629477693, 3130.1800524411483
20, 3118.9293701068445, 3130.3014922677803
