Number of randomly selected points = 150000
Model = lasso, resampling = CV, kfold = 5'
Lambda , Degrees, Mean(MSE-Train), Mean(MSE-test)
0.001, 4, 3407.247530535703, 3408.167683843986
0.001, 5, 3129.98597146738, 3131.127839566644
0.001, 6, 3125.033825290172, 3126.6780298969948
0.001, 7, 3124.618436881427, 3126.529974341499
0.001, 8, 3123.834598754334, 3126.3517373618115
0.001, 9, 3123.455580777387, 3126.66129172551
0.001, 10, 3123.0810600320206, 3126.8602693066787
0.001, 11, 3122.83948999168, 3127.4584750677227
0.001, 12, 3122.627729788088, 3126.96598510228
0.001, 13, 3122.190965753931, 3127.47840860554
0.001, 14, 3121.686021613093, 3128.125528668616
0.001, 15, 3121.387629692542, 3128.8455033115233
0.001, 16, 3121.05577263074, 3128.333117008454
0.001, 17, 3120.631644061638, 3129.511453573093
0.001, 18, 3120.1054953099765, 3130.25099133431
0.001, 19, 3119.804893729312, 3130.1816508379025
0.001, 20, 3118.9336418239636, 3130.3069463309557
0.01, 4, 3407.2664408912033, 3408.0161874437836
0.01, 5, 3130.3613108108993, 3131.511994134666
0.01, 6, 3125.4669449028584, 3126.577880704381
0.01, 7, 3124.9827107913475, 3127.0645263701194
0.01, 8, 3124.2470237364087, 3126.4535899851976
0.01, 9, 3123.85821960866, 3126.8366484783132
0.01, 10, 3123.5606160279744, 3126.3631411618044
0.01, 11, 3123.256955214223, 3127.5234251912657
0.01, 12, 3123.025778243474, 3127.200281803879
0.01, 13, 3122.5790441787003, 3127.7978490046034
0.01, 14, 3122.060453047898, 3128.569849855987
0.01, 15, 3121.8574628053098, 3128.4297101565253
0.01, 16, 3121.2964808463717, 3129.972359734661
0.01, 17, 3121.0186639933618, 3129.847575490666
0.01, 18, 3120.500948104574, 3130.501614367232
0.01, 19, 3120.1429543102995, 3130.9813427395256
0.01, 20, 3119.312135805468, 3130.734107313566
100.0, 4, 4064.627623711132, 4065.4401799666834
100.0, 5, 3621.199806045863, 3622.150487492015
100.0, 6, 3610.885369343969, 3612.0077146794893
100.0, 7, 3610.6186204487485, 3612.0068879623004
100.0, 8, 3609.649059421946, 3611.818008519589
100.0, 9, 3609.1635810138314, 3611.879588203228
100.0, 10, 3608.8676113482447, 3612.127828672482
100.0, 11, 3608.5675909726388, 3612.970742031249
100.0, 12, 3608.1945849835292, 3613.2561645509427
100.0, 13, 3607.764825157439, 3612.962627051681
100.0, 14, 3607.2338605788636, 3613.9772141198364
100.0, 15, 3607.088055660456, 3614.300588764904
100.0, 16, 3606.676099987481, 3615.2885290424792
100.0, 17, 3606.2585718600885, 3616.4410266780733
100.0, 18, 3605.726963308548, 3616.304351922778
100.0, 19, 3605.191805669575, 3617.5575819015585
100.0, 20, 3604.539387777392, 3617.120288360339
10000.0, 4, 6514.496027579304, 6514.8940265543315
10000.0, 5, 6507.311007965143, 6507.891394050671
10000.0, 6, 6448.537676951708, 6449.571853579888
10000.0, 7, 6445.575960051051, 6448.292883217079
10000.0, 8, 6445.130961211457, 6447.6708034504945
10000.0, 9, 6444.498623909266, 6448.185963610822
10000.0, 10, 6444.00606148818, 6449.064138374112
10000.0, 11, 6440.084863225483, 6446.398478838707
10000.0, 12, 6438.3723938875155, 6446.883854143193
10000.0, 13, 6436.319545738797, 6445.661759332094
10000.0, 14, 6432.162923126683, 6442.3681005435155
10000.0, 15, 6431.476401860882, 6442.69830316313
10000.0, 16, 6429.200148009394, 6442.4673239065905
10000.0, 17, 6428.196302139851, 6442.04308585461
10000.0, 18, 6426.902297058862, 6442.872251466756
10000.0, 19, 6425.652258234664, 6444.995494882171
10000.0, 20, 6424.510244776133, 6444.943201677649
