Number of randomly selected points = 1000
Model = lasso, resampling = CV, k-fold=5
Now inverse, lambda on x-axis for certian degrees
Lambda , Degrees, Mean(MSE-Train), Mean(MSE-test)
0.001, 2, 5756.874957078667, 5847.669568787695
0.0015998587196060573, 2, 5758.592443890607, 5832.5086881978405
0.002559547922699536, 2, 5758.032388131374, 5837.815497945024
0.004094915062380427, 2, 5752.087015792984, 5891.776071346519
0.006551285568595509, 2, 5756.344229758522, 5851.756262619556
0.010481131341546858, 2, 5757.666816622923, 5841.143342702676
0.016768329368110083, 2, 5757.986519385525, 5837.481370017154
0.02682695795279726, 2, 5759.283669148829, 5827.465235584505
0.04291934260128778, 2, 5761.891122720847, 5805.379704154893
0.06866488450043001, 2, 5757.53911743843, 5848.0036896326155
0.10985411419875583, 2, 5761.131145449611, 5825.457433408946
0.1757510624854793, 2, 5763.725344814229, 5829.640443264765
0.28117686979742307, 2, 5771.579813422331, 5825.859895648396
0.4498432668969444, 2, 5788.419467170379, 5846.626317287379
0.7196856730011522, 2, 5832.196916562752, 5892.2019507935165
1.151395399326448, 2, 5944.567846315069, 6026.048002483889
1.8420699693267164, 2, 6228.322796712576, 6254.997393210086
2.9470517025518097, 2, 6777.972303359647, 6837.90822475812
4.714866363457395, 2, 7638.940965425999, 7691.9532623409905
7.543120063354623, 2, 8949.610652198713, 8994.097556150395
12.067926406393289, 2, 9042.063588540499, 9063.619425687353
19.306977288832496, 2, 9269.369930155848, 9295.03913370334
30.88843596477485, 2, 9851.458789671935, 9863.411999129303
49.417133613238384, 2, 10628.229775, 10628.229775000003
79.06043210907701, 2, 10628.229775, 10628.229775
126.48552168552958, 2, 10628.229775, 10628.229775000002
202.35896477251555, 2, 10628.229775000003, 10628.229775000003
323.7457542817647, 2, 10628.229775, 10628.229775
517.9474679231213, 2, 10628.229775, 10628.229775000002
828.6427728546843, 2, 10628.229775, 10628.229775000002
1325.711365590111, 2, 10628.229775000002, 10628.229775000002
2120.9508879201926, 2, 10628.229775000002, 10628.229775000002
3393.2217718953298, 2, 10628.229775, 10628.229775
5428.67543932386, 2, 10628.229775, 10628.229775
8685.11373751352, 2, 10628.229775, 10628.229775000002
13894.954943731389, 2, 10628.229775, 10628.229775
22229.964825261955, 2, 10628.229775000002, 10628.229775
35564.80306223129, 2, 10628.229775, 10628.229775
56898.66029018305, 2, 10628.229775, 10628.229775000003
91029.81779915227, 2, 10628.229775000002, 10628.229775000002
145634.84775012443, 2, 10628.229775, 10628.229775000002
232995.1810515372, 2, 10628.229775, 10628.229775
372759.3720314938, 2, 10628.229775000002, 10628.229775000002
596362.3316594637, 2, 10628.229775000002, 10628.229775000002
954095.4763499963, 2, 10628.229775000002, 10628.229775000002
1526417.9671752364, 2, 10628.229775, 10628.229775
2442053.0945486547, 2, 10628.229775000003, 10628.229775
3906939.937054621, 2, 10628.229775, 10628.229774999998
6250551.925273976, 2, 10628.229775, 10628.229775000002
10000000.0, 2, 10628.229775000002, 10628.229775000002
0.001, 4, 3662.297206190491, 3868.0772222241017
0.0015998587196060573, 4, 3669.166626600002, 3754.0470212074833
0.002559547922699536, 4, 3666.6348693159407, 3776.6295264739792
0.004094915062380427, 4, 3667.1295917851553, 3776.8906167597065
0.006551285568595509, 4, 3667.7284185330427, 3784.6198280589124
0.010481131341546858, 4, 3665.828429455777, 3821.8319973634366
0.016768329368110083, 4, 3676.6162571001523, 3774.454711408062
0.02682695795279726, 4, 3682.904479796935, 3826.3080643374597
0.04291934260128778, 4, 3705.6837972103503, 3849.426443452986
0.06866488450043001, 4, 3748.4967384470574, 3899.35630135816
