Number of randomly selected points = 10000
Model = lasso, resampling = CV, k-fold=5
Lambda , Degrees, Mean(MSE-Train), Mean(MSE-test)
0.1, 2, 5481.075003457292, 5486.626085904046
0.1, 3, 4841.663411119893, 4850.821842781444
0.1, 4, 3626.1979188556047, 3634.903897338675
0.1, 5, 3434.221435467887, 3444.861016415705
0.1, 6, 3422.6434750453554, 3441.3262547414756
0.1, 7, 3418.244481071741, 3445.171949378592
0.1, 8, 3414.4369709443563, 3448.1694732894066
0.1, 9, 3410.9240601320753, 3448.817248958168
0.1, 10, 3408.214257366844, 3453.044462887864
0.2, 2, 5485.154319543668, 5489.800581844769
0.2, 3, 4985.157794033466, 4995.989616203171
0.2, 4, 3956.522721137696, 3967.0837883283866
0.2, 5, 3571.556003660822, 3582.6170003956213
0.2, 6, 3555.085642473812, 3569.657935172225
0.2, 7, 3551.032718556158, 3574.0637572714086
0.2, 8, 3547.518886913845, 3575.2638131130416
0.2, 9, 3544.447608033767, 3573.6189188165126
0.2, 10, 3541.5696457986355, 3579.1286628074113
0.3, 2, 5491.626286018459, 5497.9764821578265
0.3, 3, 5187.992102254072, 5196.493613036552
0.3, 4, 4294.546950702722, 4303.11235509681
0.3, 5, 3714.7239974307404, 3723.192499782583
0.3, 6, 3699.8437976718333, 3718.6552400861656
0.3, 7, 3697.7992726380935, 3715.989261474556
0.3, 8, 3693.2011594266687, 3717.948879300048
0.3, 9, 3688.7541605054184, 3721.2746121883406
0.3, 10, 3686.611631975503, 3724.311915195273
0.5, 2, 5512.787075314921, 5520.304828758259
0.5, 3, 5493.7080069868125, 5504.8013469333
0.5, 4, 4936.401963442555, 4948.648489875274
0.5, 5, 4005.852666521986, 4011.8437334933674
0.5, 6, 3994.667110022941, 4006.615556357613
0.5, 7, 3991.103871257326, 4008.275087435372
0.5, 8, 3988.5820014853584, 4013.326020157564
0.5, 9, 3985.201358563644, 4015.366341973369
0.5, 10, 3982.7393444771237, 4018.608959083614
0.8, 2, 5564.957534896501, 5568.771006775374
0.8, 3, 5572.7306872966155, 5578.3756902835175
0.8, 4, 5445.195725597854, 5456.5496129938665
0.8, 5, 4650.158656962385, 4659.619064406818
0.8, 6, 4637.478706292024, 4659.895095128939
0.8, 7, 4634.762975224779, 4658.34254367827
0.8, 8, 4633.880020544062, 4654.153108203088
0.8, 9, 4631.361772873373, 4657.197730399059
0.8, 10, 4630.6063607747, 4657.4005765986085
1.0, 2, 5612.537541150521, 5620.401087756072
1.0, 3, 5609.2597966166295, 5621.255938014793
1.0, 4, 5609.904899805506, 5615.054853319755
1.0, 5, 5161.013236513893, 5178.2492622596
1.0, 6, 5153.959500182145, 5174.121614633317
1.0, 7, 5151.206347828804, 5173.403721179508
1.0, 8, 5150.365086774198, 5172.266724276224
1.0, 9, 5148.6883391354495, 5175.836587130429
1.0, 10, 5147.48500002283, 5178.950819521364
10.0, 2, 8784.844327130388, 8786.705296304632
10.0, 3, 8274.359607229006, 8276.108211847843
10.0, 4, 8095.286335379239, 8099.7612479354375
10.0, 5, 8080.851603902326, 8088.156928386105
10.0, 6, 8080.9927445427475, 8086.654807800323
10.0, 7, 8080.866850500692, 8087.126419978818
10.0, 8, 8080.863223675772, 8086.8538482461645
10.0, 9, 8081.284682351371, 8084.933681148563
10.0, 10, 8080.710994711522, 8088.765406365802
